                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                 1.0873,                0.71924,                 1.5036,                0.97472,                0.89474,                0.98548,                0.64796,                 1.1813,                0.78614,                  1.567,              0.0016594,              0.0016594,              0.0016594
                     89,                 1.0762,                0.69514,                 1.4739,                      1,                0.98713,                  0.995,                0.68711,                 1.1927,                0.83744,                 1.6032,              0.0016555,              0.0016555,              0.0016555
                     90,                 1.0416,                0.67732,                 1.4974,                0.96154,                      1,                  0.995,                0.68815,                 1.1989,                 0.7963,                 1.6294,              0.0016515,              0.0016515,              0.0016515
                     91,                 1.0513,                0.67961,                 1.4378,                0.97614,                      1,                  0.995,                0.69575,                 1.1477,                0.73243,                 1.5729,              0.0016476,              0.0016476,              0.0016476
                     92,                 1.1005,                0.70219,                 1.4629,                0.94124,                      1,                 0.9715,                0.68139,                 1.1289,                0.70072,                 1.5102,              0.0016436,              0.0016436,              0.0016436
                     93,                 1.0808,                 0.6902,                 1.5002,                0.89539,                      1,                0.95445,                0.67739,                 1.2279,                0.76567,                 1.5822,              0.0016396,              0.0016396,              0.0016396
                     94,                 1.0558,                0.68268,                 1.4717,                0.86564,                0.94737,                0.95985,                0.69103,                   1.22,                 0.7523,                 1.6063,              0.0016357,              0.0016357,              0.0016357
                     95,                 1.0961,                  0.694,                  1.514,                0.85369,                      1,                 0.9804,                0.63252,                 1.2394,                0.81442,                 1.5621,              0.0016317,              0.0016317,              0.0016317
                     96,                 1.1057,                0.70186,                 1.5011,                0.97827,                      1,                  0.995,                0.66459,                 1.1783,                0.77602,                 1.6179,              0.0016278,              0.0016278,              0.0016278
                     97,                 1.0736,                0.68546,                 1.4931,                0.96481,                0.94737,                0.99024,                 0.6404,                 1.2909,                0.79566,                  1.638,              0.0016238,              0.0016238,              0.0016238
                     98,                   1.11,                0.68554,                 1.5183,                0.90129,                      1,                0.98497,                0.58604,                 1.2768,                0.82006,                  1.636,              0.0016198,              0.0016198,              0.0016198
                     99,                 1.0845,                0.67857,                 1.4999,                0.92182,                0.94737,                0.99024,                0.64104,                 1.2388,                 0.7857,                 1.6357,              0.0016159,              0.0016159,              0.0016159
                    100,                 1.0496,                0.68211,                 1.5353,                0.94963,                0.99267,                 0.9925,                  0.653,                 1.2372,                0.76531,                 1.5958,              0.0016119,              0.0016119,              0.0016119
                    101,                 1.1094,                0.69579,                  1.529,                0.94209,                      1,                   0.99,                0.61411,                 1.3305,                0.77152,                  1.579,               0.001608,               0.001608,               0.001608
                    102,                 1.0799,                0.70048,                  1.542,                0.97182,                      1,                  0.995,                0.63925,                 1.3299,                0.84515,                 1.5944,               0.001604,               0.001604,               0.001604
                    103,                 1.0691,                0.69759,                 1.4536,                0.89774,                      1,                0.96836,                0.63106,                 1.3544,                0.83037,                 1.6383,                 0.0016,                 0.0016,                 0.0016
